Title,year,Rating,Run Time,imdb_rating,Budget,Gross_worldwide,Director,Metascore,Hour,hr_min,Min,RunTime_min
Monty Python and the Holy Grail,1975,PG,1h 31m,8,229575,1940906,Terry Gilliam,91,1,60,31,91
There Will Be Blood,2007,R,2h 38m,8,25000000,76182388,Paul Thomas Anderson,93,2,120,38,158
Back to the Future,1985,PG,1h 56m,8,19000000,383336762,Robert Zemeckis,87,1,60,56,116
Prisoners,2013,R,2h 33m,8,46000000,122126687,Denis Villeneuve,70,2,120,33,153
The Elephant Man,1980,PG,2h 4m,8,5000000,26023860,David Lynch,78,2,120,4,124
Terminator 2: Judgment Day,1991,R,2h 17m,8,102000000,520881154,James Cameron,75,2,120,17,137
Se7en,1995,R,2h 7m,8,33000000,327333559,David Fincher,65,2,120,7,127
One Flew Over the Cuckoo's Nest,1975,R,2h 13m,8,3000000,109114817,Milos Forman,84,2,120,13,133
Gandhi,1982,PG,3h 11m,8,22000000,52767889,Richard Attenborough,79,3,180,11,191
The Truman Show,1998,PG,1h 43m,8,60000000,264118201,Peter Weir,90,1,60,43,103
All About Eve,1950,Passed,2h 18m,8,1400000,151052,Joseph L. Mankiewicz,98,2,120,18,138
The Prestige,2006,PG-13,2h 10m,8,40000000,109676311,Christopher Nolan,66,2,120,10,130
Memories of Murder,2003,Not Rated,2h 12m,8,2800000,1166717,Bong Joon Ho,82,2,120,12,132
"The Good, the Bad and the Ugly",1966,R,2h 58m,8,1200000,25253887,Sergio Leone,90,2,120,58,178
Cool Hand Luke,1967,GP,2h 7m,8,3200000,67,Stuart Rosenberg,92,2,120,7,127
Grave of the Fireflies,1988,Not Rated,1h 29m,8,3700000,516962,Isao Takahata,94,1,60,29,89
The Departed,2006,R,2h 31m,8,90000000,291480452,Martin Scorsese,85,2,120,31,151
Logan,2017,R,2h 17m,8,97000000,619179950,James Mangold,77,2,120,17,137
Whiplash,2014,R,1h 46m,8,3300000,49396747,Damien Chazelle,88,1,60,46,106
A Clockwork Orange,1971,X,2h 16m,8,2200000,26960374,Stanley Kubrick,77,2,120,16,136
